Date;Open;High;Low;Close;Adj Close;Volume
Jun 11, 2026;61456.17;62229.44;61456.17;62008.0;62008.0;27666257920
Jun 9, 2026;63092.89;63486.09;60756.69;61643.78;61643.78;40144449754
Jun 8, 2026;63244.09;64185.77;62384.67;63090.59;63090.59;34133252457
Jun 7, 2026;60866.94;64128.04;60724.07;63239.52;63239.52;36006496194
Jun 6, 2026;60924.48;61491.7;59496.63;60867.41;60867.41;30898464957
Jun 5, 2026;63807.69;63901.52;59108.92;60922.67;60922.67;71465606706
Jun 4, 2026;64020.07;64664.45;61335.75;63801.57;63801.57;63800151780
Jun 3, 2026;66694.01;67402.93;64009.68;64014.37;64014.37;47411556213
Jun 2, 2026;71321.03;71334.95;66127.27;66703.66;66703.66;54990073882
Jun 1, 2026;73580.21;73969.57;70599.51;71319.77;71319.77;43378836121
May 31, 2026;73753.75;74153.5;73315.02;73579.69;73579.69;17445435650
May 30, 2026;73370.85;74020.76;73125.23;73754.84;73754.84;19563589191
May 29, 2026;73537.03;74218.56;72435.63;73372.52;73372.52;34457929250
May 28, 2026;74339.57;74460.13;72493.41;73536.55;73536.55;40148145327
May 27, 2026;75825.3;76014.3;74136.5;74344.7;74344.7;33802172927
May 26, 2026;77280.13;77990.87;75569.47;75825.73;75825.73;35999475458
May 25, 2026;76981.13;77804.92;76833.04;77279.93;77279.93;19808387601
May 24, 2026;76670.66;77372.54;76019.89;76981.13;76981.13;20572738918
May 23, 2026;75488.31;77288.12;74255.23;76673.37;76673.37;29973220002
May 22, 2026;77538.12;77819.45;75323.88;75488.24;75488.24;27859040109
May 21, 2026;77462.51;78100.56;76655.44;77539.17;77539.17;27141485404
May 20, 2026;76749.45;77775.57;76463.65;77457.77;77457.77;26668360936
May 19, 2026;76954.75;77346.87;76082.37;76750.91;76750.91;26031898332
May 18, 2026;77426.34;77749.32;76029.23;76954.17;76954.17;41520471808
May 17, 2026;78133.59;78539.4;76783.41;77429.35;77429.35;20900166465
May 16, 2026;79066.0;79173.5;77630.73;78131.44;78131.44;25895799905
May 15, 2026;81046.87;81634.84;78635.37;79065.68;79065.68;38183347368
May 14, 2026;79276.95;82005.96;78909.68;81051.25;81051.25;43731663431
May 13, 2026;80476.79;81276.67;78725.51;79277.12;79277.12;34075428359
May 12, 2026;81725.35;81753.03;79832.1;80477.49;80477.49;32186688600
May 11, 2026;82139.05;82326.23;80451.42;81728.3;81728.3;32409774919
May 10, 2026;80665.61;82430.17;80274.13;82138.93;82138.93;26965971077
May 9, 2026;80187.74;81030.06;80119.93;80664.37;80664.37;18102086996
May 8, 2026;80009.63;80447.27;79205.52;80186.77;80186.77;33789351540
May 7, 2026;81428.85;81684.95;79522.66;80009.99;80009.99;36931193154
May 6, 2026;80930.73;82792.21;80751.02;81427.53;81427.53;41751540000
May 5, 2026;79823.53;81751.45;79787.58;80927.05;80927.05;39700107376
May 4, 2026;78540.29;80742.36;78217.96;79827.91;79827.91;54325085296
May 3, 2026;78656.73;79402.36;78073.08;78538.23;78538.23;20544392639
May 2, 2026;78177.75;79119.79;78031.96;78657.25;78657.25;16761531851
May 1, 2026;76305.05;78894.98;76294.7;78179.0;78179.0;39164328894
Apr 30, 2026;75778.63;76611.48;75318.98;76304.32;76304.32;29497862305
Apr 29, 2026;76350.69;77884.97;74958.57;75776.13;75776.13;41460907886
Apr 28, 2026;77368.12;77483.87;75673.6;76350.67;76350.67;32056900880
Apr 27, 2026;78661.02;79488.17;76481.34;77366.63;77366.63;38135631927
Apr 26, 2026;77613.12;78923.56;77334.89;78657.54;78657.54;21482934750
Apr 25, 2026;77457.21;77882.64;77184.66;77612.02;77612.02;16702933134
Apr 24, 2026;78263.82;78554.09;77318.45;77455.31;77455.31;32784213526
Apr 23, 2026;78203.88;78676.94;77014.45;78268.95;78268.95;40354900916
Apr 22, 2026;76354.22;79468.0;76159.58;78203.1;78203.1;48336654537
Apr 21, 2026;75872.83;76881.48;74852.67;76352.77;76352.77;36453522626
Apr 20, 2026;73854.25;76575.36;73775.57;75872.52;75872.52;39674447916
Apr 19, 2026;75723.7;76243.09;73802.38;73856.35;73856.35;30931515195
Apr 18, 2026;77136.05;77416.7;75504.95;75726.21;75726.21;26014416776
Apr 17, 2026;75164.04;78320.68;74558.6;77126.88;77126.88;54137194839
Apr 16, 2026;74810.88;75506.57;73346.27;75152.13;75152.13;41312783855
Apr 15, 2026;74182.02;75409.27;73549.2;74805.08;74805.08;38090174312
Apr 14, 2026;74478.4;76061.76;73877.2;74181.61;74181.61;53540826530
Apr 13, 2026;70757.62;74896.31;70588.52;74484.64;74484.64;52278211554
Apr 12, 2026;73056.05;73154.03;70540.57;70753.41;70753.41;29882740487
Apr 11, 2026;72976.13;73784.23;72556.34;73054.27;73054.27;23287073965
Apr 10, 2026;71774.37;73440.12;71434.83;72979.05;72979.05;37722595732
Apr 9, 2026;71120.57;73107.27;70486.36;71767.83;71767.83;38799581473
Apr 8, 2026;71950.15;72825.19;70707.47;71123.36;71123.36;42444631703
Apr 7, 2026;68859.38;72732.43;67740.51;71940.7;71940.7;44650511480
Apr 6, 2026;68982.91;70305.42;68347.08;68859.83;68859.83;39542143229
Apr 5, 2026;67291.2;69087.66;66610.63;68981.9;68981.9;22972648674
Apr 4, 2026;66938.65;67515.02;66769.64;67290.52;67290.52;15878814963
Apr 3, 2026;66889.02;67296.23;66281.54;66931.1;66931.1;22815543346
Apr 2, 2026;68077.9;68633.15;65725.26;66888.57;66888.57;39323384518
Apr 1, 2026;68232.89;69230.36;67555.36;68078.55;68078.55;36465393617
Mar 31, 2026;66694.59;68495.27;65950.44;68233.31;68233.31;42997691338
Mar 30, 2026;65958.35;68087.29;65759.8;66691.45;66691.45;37694994180
Mar 29, 2026;66319.7;67052.95;64971.71;65954.92;65954.92;21645889785
Mar 28, 2026;66338.5;67232.86;65906.74;66319.7;66319.7;20924883455
Mar 27, 2026;68790.84;69117.53;65532.57;66338.38;66338.38;46483453594
Mar 26, 2026;71310.12;71410.39;68118.35;68791.63;68791.63;38962070215
Mar 25, 2026;70520.05;71985.74;70383.59;71309.88;71309.88;35409791747
Mar 24, 2026;70912.67;71371.3;68920.7;70517.86;70517.86;40181522399
Mar 23, 2026;67843.0;71782.26;67458.84;70914.86;70914.86;51508669357
Mar 22, 2026;68737.45;69561.77;67372.88;67845.21;67845.21;30108051508
Mar 21, 2026;70522.47;71051.27;68602.91;68711.52;68711.52;21109354718
Mar 20, 2026;69911.53;71346.8;69398.88;70522.59;70522.59;38299078407
Mar 19, 2026;71250.35;71598.84;68805.52;69912.79;69912.79;44631433398
Mar 18, 2026;73936.85;74658.98;70503.86;71245.58;71245.58;46229011155
Mar 17, 2026;74855.3;75988.4;73444.23;73922.48;73922.48;49500721728
Mar 16, 2026;72798.17;74901.86;72300.63;74861.09;74861.09;55572438409
Mar 15, 2026;71213.68;73173.01;70882.42;72789.91;72789.91;27991268669
Mar 14, 2026;70965.38;71291.2;70339.59;71214.63;71214.63;22283546496
Mar 13, 2026;70497.05;73927.33;70410.73;70968.27;70968.27;61167226505
Mar 12, 2026;70209.77;70775.83;69230.16;70493.46;70493.46;40871848129
Mar 11, 2026;69931.25;71337.66;68998.87;70204.88;70204.88;45236859848
Mar 10, 2026;68402.72;71770.9;68402.72;69926.92;69926.92;54003996096
Mar 9, 2026;65969.59;69474.95;65858.01;68402.38;68402.38;49499875378
Mar 8, 2026;67272.5;68177.79;65639.2;65969.78;65969.78;33195080116
Mar 7, 2026;68136.69;68515.16;66969.26;67272.59;67272.59;23258701211
Mar 6, 2026;70842.16;71378.57;67757.82;68136.49;68136.49;43776962871
Mar 5, 2026;72712.66;73555.79;70654.88;70841.13;70841.13;51172841727
Mar 4, 2026;68290.56;74051.8;67437.41;72710.58;72710.58;75073101274
Mar 3, 2026;68785.08;69232.89;66237.62;68293.65;68293.65;47947999049
Mar 2, 2026;65734.08;70044.0;65303.14;68775.85;68775.85;56698092052
Mar 1, 2026;67005.88;68162.82;65076.73;65738.1;65738.1;40733141929
Feb 28, 2026;65878.93;67714.52;63062.22;66995.86;66995.86;42041497112
Feb 27, 2026;67456.52;68220.41;64946.04;65881.8;65881.8;40283655942
Feb 26, 2026;67954.87;68843.35;66523.73;67453.77;67453.77;42988597523
Feb 25, 2026;64077.77;69953.53;63942.48;67960.13;67960.13;53629234355
Feb 24, 2026;64616.02;64992.16;62553.19;64080.04;64080.04;40849331086
Feb 23, 2026;67668.43;67668.43;63924.44;64616.74;64616.74;50953457309
Feb 22, 2026;67998.83;68235.23;67185.6;67659.39;67659.39;17893536012
Feb 21, 2026;68000.25;68657.7;67533.07;68003.77;68003.77;18357635642
Feb 20, 2026;66958.58;68269.03;66452.48;68005.42;68005.42;47507867304
Feb 19, 2026;66425.63;67277.13;65637.43;66957.52;66957.52;31492987019
Feb 18, 2026;67488.02;68434.43;65845.9;66425.32;66425.32;33094301643
Feb 17, 2026;68843.09;69201.87;66615.28;67494.22;67494.22;34866936040
Feb 16, 2026;68782.4;70067.23;67301.59;68843.16;68843.16;33618145426
Feb 15, 2026;69764.95;70939.29;68052.55;68788.19;68788.19;40191152750
Feb 14, 2026;68856.98;70481.16;68706.62;69767.63;69767.63;36012397645
Feb 13, 2026;66213.38;69382.84;65835.78;68857.84;68857.84;40820775886
Feb 12, 2026;66992.2;68339.49;65092.11;66221.84;66221.84;44651071271
Feb 11, 2026;68791.86;69242.68;65757.3;66991.97;66991.97;49671946030
Feb 10, 2026;70137.39;70464.27;67913.09;68793.96;68793.96;40593063077
Feb 9, 2026;70243.33;71369.97;68291.03;70120.78;70120.78;52081598792
Feb 8, 2026;69283.73;72206.91;68852.9;70264.73;70264.73;39721722619
Feb 7, 2026;70553.8;71611.15;67364.45;69281.97;69281.97;62347107663
Feb 6, 2026;62704.45;71681.3;60074.2;70555.39;70555.39;114674259489
Feb 5, 2026;73016.38;73161.55;62353.54;62702.1;62702.1;125509410908
Feb 4, 2026;75640.09;76864.66;71779.93;73019.7;73019.7;67215363944
Feb 3, 2026;78693.51;79118.85;72897.14;75633.55;75633.55;68249110822
Feb 2, 2026;76968.88;79258.61;74551.34;78688.77;78688.77;75140589684
Feb 1, 2026;78626.13;79322.61;75698.9;76974.45;76974.45;53372509744
Jan 31, 2026;84126.5;84136.92;75815.88;78621.12;78621.12;70479259159
Jan 30, 2026;84562.73;84602.16;81071.48;84128.66;84128.66;72083816087
Jan 29, 2026;89169.85;89200.78;83250.6;84561.59;84561.59;64653083162
Jan 28, 2026;89104.05;90439.29;88721.46;89184.57;89184.57;39807419296
Jan 27, 2026;88257.48;89427.13;87228.92;89102.57;89102.57;38744942267
Jan 26, 2026;86566.52;88743.07;86429.29;88267.14;88267.14;45329286974
Jan 25, 2026;89104.77;89193.15;86003.71;86572.22;86572.22;36124986722
Jan 24, 2026;89506.15;89811.61;89044.29;89110.73;89110.73;14558687712
Jan 23, 2026;89462.05;91100.25;88486.36;89503.88;89503.88;38997586037
Jan 22, 2026;89378.52;90258.96;88438.45;89462.45;89462.45;35549685694
Jan 21, 2026;88326.51;90430.41;87231.57;89376.96;89376.96;56330422434
Jan 20, 2026;92553.6;92798.43;87814.93;88310.91;88310.91;53072968031
